31996;2;U
31997;1;U
31998;2;U
31999;1;U
32000;2;U
32001;2;U
32002;2;U
32003;2;U
32004;1;U
32005;2;U
32006;2;U
32007;2;U
32008;2;U
32009;3;O
32010;0;U
32011;1;U
32012;2;U
32013;1;U
32014;1;U
32015;1;U
32016;4;O
32017;2;U
32018;1;U
32019;1;U
32020;3;O
32021;3;O
32022;2;U
32023;2;U
32024;1;U
32025;2;U
32026;2;U
32027;4;O
32028;3;O
32029;3;O
32030;2;U
32031;0;U
32293;3;O
32294;1;U
32295;2;U
32296;1;U
32297;2;U
32298;1;U
32299;2;U
32300;2;U
32301;1;U
32302;2;U
32303;2;U
32304;3;O
32305;3;O
32306;3;O
32307;3;O
32308;2;U
32309;2;U
32310;2;U
32311;1;U
32312;3;O
32313;2;U
32314;1;U
32315;2;U
32316;1;U
32317;2;U
32318;3;O
32319;2;U
32320;2;U
32321;2;U
32322;2;U
32323;3;O
32324;1;U
32325;3;O
32326;3;O
32327;2;U
32328;2;U
34206;1;U
34207;5;O
34208;1;U
34209;3;O
34210;2;U
34211;3;O
34212;2;U
34213;2;U
34214;3;O
34215;2;U
34216;6;O
34217;1;U
34218;2;U
34219;1;U
34220;2;U
34221;3;O
34222;3;O
34223;3;O
34224;2;U
34262;3;O
34231;1;U
34232;2;U
34233;2;U
34234;3;O
34235;3;O
34236;3;O
34237;6;O
34238;2;U
34239;1;U
34240;3;O
34242;2;U
34243;3;O
34244;3;O
34245;4;O
34246;2;U
34247;1;U
34248;2;U
34249;1;U
34250;2;U
34251;4;O
31702;2;U
31703;1;U
31704;3;O
31705;2;U
31706;1;U
31707;0;U
31708;3;O
31709;3;O
31710;2;U
31711;1;U
31712;2;U
31713;1;U
31715;3;O
31716;3;O
31717;1;U
31718;0;U
31719;1;U
31720;1;U
31721;1;U
31722;3;O
31723;2;U
31724;3;O
31725;3;O
31740;3;O
31728;3;O
31729;3;O
31730;2;U
31731;1;U
31732;1;U
31733;1;U
31734;0;U
31735;4;O
31736;2;U
31737;1;U
31738;3;O
31739;2;U
31741;2;U
31742;1;U
31743;1;U
31744;3;O
31745;1;U
31746;2;U
31747;4;O
31748;2;U
31749;0;U
31750;4;O
31751;1;U
31752;1;U
34582;3;O
34583;1;U
34584;1;U
34585;4;O
34586;1;U
34587;1;U
34588;1;U
34589;2;U
34590;2;U
34591;1;U
34592;2;U
34593;1;U
34594;4;O
34595;2;U
34596;0;U
34597;2;U
34598;1;U
34599;3;O
34600;1;U
34601;1;U
34602;1;U
34603;2;U
34604;1;U
34605;2;U
34606;2;U
34607;1;U
34608;2;U
34609;2;U
34610;4;O
34611;1;U
34612;2;U
34613;1;U
34614;0;U
34615;1;U
34616;2;U
34617;3;O
34618;1;U
34619;1;U
34620;3;O
34621;2;U
34972;1;U
34973;2;U
34974;2;U
34975;2;U
34976;2;U
34977;1;U
34978;5;O
34979;1;U
34980;1;U
34981;3;O
34982;1;U
34983;1;U
34984;1;U
34985;3;O
34986;1;U
34987;3;O
34988;1;U
34989;2;U
34990;4;O
34991;1;U
34992;1;U
34993;1;U
34994;1;U
34995;1;U
34996;1;U
34997;2;U
34998;4;O
34999;2;U
35000;0;U
35001;2;U
35002;4;O
35003;1;U
35004;3;O
35005;1;U
35006;5;O
35007;2;U
35008;2;U
35009;3;O
35010;3;O
35011;1;U
32665;2;U
32666;1;U
32667;2;U
32668;4;O
32669;1;U
32670;3;O
32671;1;U
32672;4;O
32673;2;U
32674;1;U
32675;2;U
32676;2;U
32677;3;O
32678;5;O
32679;2;U
32680;3;O
32681;4;O
32682;3;O
32683;1;U
32684;0;U
32685;2;U
32686;0;U
32687;2;U
32688;1;U
32689;4;O
32690;1;U
32691;2;U
32692;1;U
32693;2;U
32694;2;U
32695;1;U
32696;2;U
32697;1;U
32698;1;U
32699;4;O
32700;5;O
32701;4;O
32702;1;U
32703;2;U
32704;2;U
33119;1;U
33120;0;U
33121;3;O
33122;2;U
33123;1;U
33124;3;O
33125;4;O
33126;4;O
33127;3;O
33128;1;U
33129;2;U
33130;1;U
33131;2;U
33132;1;U
33133;2;U
33134;3;O
33135;2;U
33136;0;U
33137;0;U
33138;3;O
33139;1;U
33140;1;U
33141;4;O
33142;2;U
33143;1;U
33144;1;U
33145;2;U
33146;3;O
33147;2;U
33148;0;U
33149;1;U
33150;3;O
33151;2;U
33152;1;U
33153;1;U
33154;2;U
33155;2;U
33156;1;U
33157;2;U
33158;3;O
33159;3;O
33160;1;U
33161;1;U
33162;2;U
33459;2;U
33460;1;U
33461;2;U
33462;3;O
33463;3;O
33464;2;U
33474;2;U
33475;2;U
33476;2;U
33465;2;U
33466;2;U
33467;3;O
33468;5;O
33469;1;U
33470;4;O
33471;2;U
33472;3;O
33473;2;U
33477;2;U
33478;1;U
33479;2;U
33480;1;U
33481;1;U
33482;2;U
33483;2;U
33484;2;U
33485;2;U
33486;3;O
33487;2;U
33488;1;U
33489;3;O
33490;2;U
33491;2;U
33492;3;O
33493;3;O
33494;4;O
33823;1;U
33824;2;U
33825;5;O
33826;2;U
33827;1;U
33828;2;U
33829;1;U
33830;2;U
33831;3;O
33832;3;O
33833;0;U
33834;2;U
33835;2;U
33836;1;U
33837;1;U
33838;1;U
33839;2;U
33840;1;U
33841;1;U
33842;3;O
33843;2;U
33844;5;O
33845;2;U
33846;2;U
33847;1;U
33848;4;O
33849;2;U
33850;1;U
33851;3;O
33852;2;U
33853;2;U
33854;1;U
33855;2;U
33856;2;U
33857;5;O
33858;3;O
33859;3;O
33860;1;U
33861;1;U
33862;1;U
31148;1;U
31149;2;U
31150;1;U
31151;2;U
31152;2;U
31153;2;U
31154;1;U
31155;3;O
31156;2;U
31157;3;O
31158;4;O
31159;2;U
31160;2;U
31161;2;U
31162;6;O
31163;3;O
31164;2;U
31165;2;U
31166;2;U
31167;0;U
31168;2;U
31169;1;U
31170;2;U
31171;3;O
31172;1;U
31173;3;O
31174;2;U
31175;2;U
31176;3;O
31177;6;O
31178;4;O
31179;3;O
31180;3;O
31181;3;O
31182;2;U
31183;2;U
30842;3;O
30843;1;U
30844;2;U
30845;2;U
30846;3;O
30847;2;U
30848;3;O
30849;2;U
30850;2;U
30851;3;O
30852;4;O
30853;2;U
30854;2;U
30855;2;U
30856;2;U
30857;2;U
30858;5;O
30859;2;U
30860;1;U
30861;2;U
30862;3;O
30863;3;O
30864;2;U
30865;2;U
30866;2;U
30867;3;O
30868;3;O
30869;3;O
30870;2;U
30871;2;U
30872;4;O
30873;3;O
30874;1;U
30875;6;O
30876;3;O
30877;2;U
