31996;34.10;39.85;26.05
31997;72.06;16.56;11.38
31998;41.88;34.93;23.19
31999;8.26;21.21;70.53
32000;41.01;36.39;22.60
32001;10.47;20.08;69.46
32002;83.32;11.00;5.69
32003;60.91;23.41;15.68
32004;30.29;44.24;25.47
32005;21.45;44.71;33.83
32006;31.65;43.04;25.31
32007;71.73;17.11;11.16
32008;23.81;43.24;32.95
32009;8.35;18.28;73.37
32010;40.49;35.58;23.93
32011;5.34;29.46;65.20
32012;53.35;27.86;18.79
32013;18.70;36.05;45.25
32014;49.74;30.33;19.94
32015;63.65;22.24;14.11
32016;83.14;11.44;5.42
32017;64.93;20.82;14.25
32018;25.99;44.59;29.42
32019;49.72;31.96;18.32
32020;27.02;45.05;27.93
32021;80.24;12.55;7.22
32022;34.44;39.82;25.74
32023;7.84;23.06;69.11
32024;9.23;19.45;71.32
32025;10.97;19.33;69.70
32026;18.32;36.28;45.41
32027;13.69;23.19;63.12
32028;21.27;37.99;40.74
32029;41.16;35.64;23.21
32030;51.61;29.48;18.91
32031;73.78;15.88;10.34
32293;8.66;15.56;75.78
32294;20.57;33.00;46.43
32295;18.82;26.75;54.44
32296;81.14;13.09;5.77
32297;34.62;38.92;26.46
32298;50.57;28.75;20.67
32299;78.22;14.46;7.33
32300;25.05;43.23;31.72
32301;26.11;40.20;33.70
32302;79.01;11.90;9.09
32303;68.45;19.59;11.95
32304;11.62;21.46;66.92
32305;64.82;20.54;14.64
32306;7.67;23.46;68.87
32307;22.88;38.46;38.66
32308;61.59;22.55;15.87
32309;26.70;42.97;30.33
32310;6.26;30.63;63.11
32311;18.04;28.67;53.30
32312;14.98;28.62;56.39
32313;8.78;26.46;64.76
32314;57.38;24.92;17.71
32315;7.13;28.76;64.11
32316;75.14;17.29;7.57
32317;37.68;36.63;25.69
32318;47.13;31.73;21.14
32319;65.00;20.35;14.65
32320;78.76;14.38;6.86
32321;10.50;37.72;51.78
32322;76.41;14.46;9.12
32323;84.09;10.90;5.01
32324;54.10;27.04;18.87
32325;7.73;26.34;65.93
32326;73.39;15.85;10.77
32327;31.60;40.23;28.17
32328;18.27;28.17;53.56
34206;33.90;39.88;26.22
34207;73.67;17.24;9.10
34208;15.24;39.20;45.56
34209;85.97;6.59;7.44
34210;31.09;41.98;26.94
34211;20.39;52.29;27.32
34212;99.98;0.00;0.02
34213;55.40;27.22;17.38
34214;77.11;16.11;6.78
34215;70.50;17.60;11.90
34216;19.26;48.22;32.52
34217;44.68;34.63;20.69
34218;45.04;33.44;21.52
34219;63.18;25.27;11.54
34220;2.72;33.04;64.24
34221;46.91;32.49;20.60
34222;58.79;24.65;16.55
34223;6.63;19.37;74.00
34224;11.49;41.07;47.43
34262;9.96;26.04;64.00
34231;8.46;39.03;52.51
34232;73.03;8.13;18.84
34233;81.49;12.40;6.11
34234;83.78;10.75;5.48
34235;54.81;27.78;17.40
34236;44.85;33.69;21.46
34237;41.79;36.25;21.96
34238;40.12;38.85;21.02
34239;24.45;14.53;61.02
34240;0.00;2.20;97.80
34242;41.27;35.76;22.97
34243;78.51;15.10;6.39
34244;27.56;43.90;28.53
34245;21.33;39.32;39.35
34246;7.67;21.41;70.91
34247;14.94;26.79;58.27
34248;89.71;7.02;3.27
34249;38.18;37.85;23.97
34250;73.00;21.80;5.20
34251;5.42;23.96;70.62
31702;8.49;27.21;64.30
